('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.003    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      148    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      260    0.000    0.000    0.000    0.000 os.py:752(decode)
        1    0.000    0.000    0.556    0.556 connectionpool.py:361(_make_request)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.016    0.008 connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       11    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 request.py:2494(getproxies_environment)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
    21/15    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:406(spec_from_loader)
        1    0.000    0.000    0.011    0.011 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       34    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       56    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 socket.py:219(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       47    0.000    0.000    0.000    0.000 ipaddress.py:535(_split_addr_prefix)
       16    0.000    0.000    0.000    0.000 parse.py:369(urlparse)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl_.py:250(create_urllib3_context)
        1    0.000    0.000    0.001    0.001 models.py:3(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
      190    0.000    0.000    0.000    0.000 enum.py:753(value)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
      148    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      165    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1417(__init__)
        1    0.000    0.000    0.004    0.004 cd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
